Symbol,Name,Coingecko,Address
VELO,Velodrome,https://www.coingecko.com/en/coins/velodrome-finance,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05
QI,QI DAO,https://www.coingecko.com/en/coins/qi-dao,0x3f56e0c36d275367b8c502090edf38289b3dea0d
LYRA,Lyra Finance,https://www.coingecko.com/en/coins/lyra-finance,0x50c5725949a6f0c72e6c4a641f24049a917db0cb
PERP,Perpetual Protocol ,https://www.coingecko.com/en/coins/perpetual-protocol,0x9e1028f5f1d5ede59748ffcee5532509976840e0
SONNE,Sonne Finance,https://www.coingecko.com/en/coins/sonne-finance,0x1db2466d9f5e10d7090e7152b68d62703a2245f0
POP,Popcorn,https://www.coingecko.com/en/coins/popcorn,0x6f0fecbc276de8fc69257065fe47c5a03d986394
DHT,dHedge DAO,https://www.coingecko.com/en/coins/dhedge-dao,0xaf9fe3b5ccdae78188b1f8b9a49da7ae9510f151
PREMIA,Premia,https://www.coingecko.com/en/coins/premia,0x374ad0f47f4ca39c78e5cc54f1c9e426ff8f231a
ACX,Across Protocol,https://www.coingecko.com/en/coins/across-protocol,0xff733b2a3557a7ed6697007ab5d11b79fdd1b76b
TAROT,Tarot,https://www.coingecko.com/en/coins/tarot,0x375488f097176507e39b9653b88fdc52cde736bf
